semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1091,D1895,會資五乙,稅務法規與申報實務 (學年),(5207),必,2,4,星期三,3,3,蔡京姐,1
1091,D1897,會資五乙,週會/班會 (學年),(5207),必,7,8,星期三,2,0,林東興,1
1091,D1948,品設科菁英班五甲,展示設計,(4217),選,2,3,星期三,2,2,吳銜容,1
1091,D2015,資管五甲,資訊安全,(2302),必,5,7,星期三,3,3,許耀東,1
1091,D2088,日語五甲,日語發表演練 (學年),(3609),必,5,6,星期三,2,2,橘孝司,1
1091,D2168,英語五甲,英語演講與溝通 (學年),(3409),必,3,4,星期三,2,2,徐琍沂,1
1091,D2170,英語五甲,商用英文 (學年),(3506),必,6,8,星期三,3,3,徐琍沂,1
1091,D2232,資應菁英班五甲,雲端技術與應用,(2604),必,5,7,星期三,3,3,林文彥,1
1091,D2336,保金五甲,授信理論與實務 (另併１班),(5311),選,2,4,星期三,3,3,洪麗淇,1
1091,D2347,保金五甲,週會/班會 (學年),(5310),必,7,8,星期三,2,0,楊錦麗,1
1091,D2366,保金五乙,週會/班會 (學年),(5311),必,7,8,星期三,2,0,李建平,1
1091,D1531,護理四甲,手術室護理概論 (另併１班),(T401),選,3,4,星期三,2,2,陳光慧,1
1091,D1534,護理四甲,安寧療護概論 (另併１班),(T402),選,5,6,星期三,2,2,劉曉菁,1
1091,D1548,護理四甲,週會/班會 (學年),(T401),必,7,8,星期三,2,0,高碧琴,1
1091,D1538,護理四甲,藥物治療學 (另併１班),(T402),選,3,4,星期三,2,2,楊宜真蔡馨慧,1
1091,D1547,護理四甲,護理專業寫作概論,(T401),必,1,2,星期三,2,2,陳宥蓁,1
1091,D1567,護理四乙,週會/班會 (學年),(T402),必,7,8,星期三,2,0,柯貞如,1
1091,D1566,護理四乙,護理專業寫作概論,(T402),必,1,2,星期三,2,2,劉千琪,1
1091,D1658,企管四甲,消費者行為,(5409),必,2,4,星期三,3,3,黃月春,1
1091,D1665,企管四甲,週會/班會 (學年),(5409),必,7,8,星期三,2,0,黃政治,1
1091,D1663,企管四甲,管理資訊系統 (學年),(7602),必,5,6,星期三,2,2,賴慧敏,1
1091,D1677,企管四乙,週會/班會 (學年),(5410),必,7,8,星期三,2,0,楊子孟,1
1091,D1741,國貿四甲,商用英文 (學年),(3804),必,5,6,星期三,2,2,李金玲,1
