semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1112,D2882,會資四乙,高級會計學 (學年),(5210),必,5,6,星期三,4,3,蔡美秀,1
1112,D2876,會資四乙,應用統計方法,(5210),必,3,4,星期三,4,4,程雅琳,1
1112,D2946,品設科菁英班四甲,週會/班會 (學年),(4206),必,7,8,星期四,2,0,張國賓,1
1112,D9016,品設科菁英班四甲,複合媒材設計,(4206),選,2,4,星期四,3,3,魏明仕,1
1112,D2956,品設科菁英班四甲,自主學習專業（一）,(4206),必,6,6,星期四,1,1,張國賓,1
1112,D3006,資管四甲,週會/班會 (學年),(2603),必,7,8,星期四,2,0,楊育寧,1
1112,D2564,護理五甲,產兒科護理總論 (另併１班),(T211),選,1,2,星期五,2,2,高碧琴葉月珍,1
1112,D2565,護理五甲,實用微免及病理學 (另併１班),(T211),選,3,4,星期五,2,2,盧冠霖賴宗鼎,1
1112,D2566,護理五甲,實用解剖學 (另併１班),(T211),選,5,6,星期五,2,2,李玉菁,1
1112,D2569,護理五甲,臨床實務之批判性思考 (另併１班),(T502),選,7,8,星期五,2,2,陳宥蓁,1
1112,D2768,國貿五甲,國際商業信用狀實務,(3805),必,3,4,星期五,2,1,鄧天強,1
1112,D2892,會資五甲,應用微積分 (學年) (另併１班),(7402),選,5,7,星期五,3,3,詹明華,1
1112,D2888,會資五甲,證券投資分析 (另併１班),(7403),選,2,4,星期五,3,3,林世揚,1
1112,D2961,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,吳銜容,1
1112,D4952,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,魏明仕,1
1112,D4953,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,李本育,1
1112,D4954,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,張國威,1
1112,D4955,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,張國賓,1
1112,D4956,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,蔡宜佳,1
1112,D4957,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,王譔博,1
1112,D4958,品設科菁英班五甲,專題設計（二）,(4215),必,2,4,星期五,3,3,徐子雲,1
1112,D4790,日語五甲,日文商用文書寫作 (學年),(3608),必,3,4,星期五,2,2,廖秀娟,1
1112,D8885,日語五甲,日語綜合演練,(3608),選,7,8,星期五,2,2,張瓊瑜,1
1112,D3096,日語五甲,新聞英文閱讀 (學年),(3608),必,5,6,星期五,2,2,蔡靜玲,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D2677,企管四甲,統計學 (學年),(5409),必,2,4,星期五,3,3,楊佑傑簡郁紘,1
1112,D2684,企管四乙,服務業管理,(5410),必,5,7,星期五,3,3,黃月春,1
1112,D2688,企管四乙,統計學 (學年),(5410),必,2,4,星期五,3,3,蔣昱弘,1
1112,D2762,國貿四甲,商業英語會話（二） (學年),(3411),必,5,7,星期五,3,1,李金玲,1
1112,D4768,國貿四甲,商業英語會話（二） (學年),(3811),必,5,7,星期五,3,1,林佳勳,1
1112,D2763,國貿四甲,國際貿易實務 (學年),(3804),必,3,4,星期四,4,4,楊維娟,1
1112,D2873,會資四乙,商業會計法與記帳法規 (另併１班),(5209),選,2,4,星期五,3,3,趙志浩,1
1112,D2874,會資四乙,貨幣銀行學 (另併１班),(7306),選,5,7,星期五,3,3,林佳揚,1
1112,D2951,品設科菁英班四甲,排版與印前作業,(4314),選,2,4,星期五,3,3,沈有騰,1
1112,D3007,資管四甲,實用英文,(6502),選,2,4,星期五,3,3,劉力豪,1
1112,D3075,日語四甲,日本名著選讀,(3606),必,5,6,星期五,2,2,廖秀娟,1
1112,D4789,日語四甲,日語會話（三） (學年),(3404),必,1,2,星期五,2,2,鍾美佐,1
1112,D3083,日語四甲,英語聽說演練（二） (學年),(3412),必,3,4,星期五,2,2,湯馬丁,1
1112,D3164,英語四甲,英文選讀 (學年),(3201),必,5,7,星期五,3,3,林勤敏,1
1112,D3233,資應菁英班四甲,數位錄影與剪輯,(2404),選,2,4,星期五,3,3,周殷菀,1
1112,D2699,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,李家瑩,1
1112,D4963,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,盧慶樺,1
1112,D4964,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,趙正敏,1
1112,D4965,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,呂思齊,1
1112,D4966,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,蔣昱弘,1
1112,D4967,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,陳柏儒,1
1112,D5090,企管五甲,專題製作 (學年),(0000),必,1,3,星期六,3,3,李國瑋,1
1112,D2708,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,蔣昱弘,1
1112,D4968,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,何蕙萍,1
1112,D4969,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,趙正敏,1
1112,D4970,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,呂思齊,1
1112,D4971,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,盧慶樺,1
1112,D4972,企管五乙,專題製作 (學年),(0000),必,1,3,星期六,3,3,陳柏儒,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D2764,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,李桂枝,1
1112,D5091,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,黃俊儒,1
1112,D5092,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,姜祖華,1
1112,D5093,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,楊政郎,1
1112,D5094,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,韓聖,1
1112,D5095,國貿四甲,專題研究 (學年),(0000),必,2,2,星期六,1,1,李固遠,1
1112,D5096,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,陳俊智,1
1112,D5097,國貿四甲,專題研究 (學年),(0000),必,1,1,星期六,1,1,王韋能,1
1112,D3013,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,廖士寬,1
1112,D5039,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,林真伊,1
1112,D8967,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,蕭國倫,1
1112,D8968,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,林文彥,1
1112,D8969,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,駱榮問,1
1112,D8970,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,邱淑芬,1
1112,D8971,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,連俊瑋,1
1112,D8972,資管四甲,資訊管理實務專題（一）,(0000),必,1,3,星期六,3,2,陳大仁,1
1112,D3238,資應菁英班四甲,資訊實務專題（一）,(0000),必,1,3,星期六,3,2,周殷菀,1
1112,D5040,資應菁英班四甲,資訊實務專題（一）,(0000),必,1,3,星期六,3,2,邱淑芬,1
